номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
437,,ИНФОРМАТИКА,,,,,,,,Информатика,,,,
438,6505-ИНФ00082,"Таблицы демонстрационные ""Информатика и ИКТ 8-9 класс (7-9 кл.)"" ","Учебный альбом из 11 листов, формат 68*98 см.
Архитектура ПК: системная плата. Архитектура ПК: устройства ввода-вывода. Архитектура ПК: устройства внешней памяти. Обмен данными в телекоммуникационных сетях. Обработка информации с помощью ПК. Законы логики. Основные этапы компьютерного моделирования. Логические операции. Позиционные системы счисления. Базовые алгоритмические структуры. Информационные революции, поколения компьютеров.",компл,11,1848,2310,4132.8,680х980,Информатика,Бумага,Таблицы,Да,2.17.
439,6424-ИНФ00081,"Таблицы демонстрационные ""Информатика 5-6 класс"" ","Учебный альбом из 17 листов, формат 68*98 см.
Передача информации. Как мы воспринимаем информацию. Хранение информации. Клавиатура компьютера. Модели. Управление и исполнители. Алгоритмы и исполнители. Системы. Виды цифровых данных. Обработка информации. Объекты. Техника безопасности. Информация в компьютере. Хранение информации в компьютере. Правила работы на клавиатуре. Исполнители. Подготовка текстовых документов.",компл,17,2856,3570,6372.8,680х980,Информатика,Бумага,Таблицы,Да,2.17.
440,SC113-ИНФ00001,Комплект таблиц Информатика 5-9 классы,Комплект таблиц из  5 таблиц размером 680х980мм . Состав: 1. Информация и информационные процессы 2. Устройство компютера  3. Системы исчисления 4. Логические основа компьютера 5. Основы алгоритмизации и программирования,компл,5,840,1050,1881.6,680х980,Информатика,Бумага,Таблицы,,2.17.
441,SC129-ИНФ00002,Комплект таблиц Информатика 5-11 класс,"Комплект таблиц из 52 таблиц размером 680х980мм . Состав: 1. Алгоритмы и языки программирования: Алгоритмы и исполнители.  2. Базовые алгоритмические структуры.  3. Величины. Типы величин. 4. Величины. Типы величин. 5. Языки программирования.(С/С++ Basic) 6. Языки программирования.(Ada. Fortran.)  7. Информация:Виды информационных процессов. 8. Законы логики 9. Информационные революции. Поколения компьютеров 10. История информатики. 11. Как мы воспринимаем информацию. 12. Как хранят информацию на компьютере. 13. Компьютер и информация. 14. Логические операции. 15. Обработка информации 16Обработка информации с помощью ПК 17. Передача информации 18. Хранение информации. 19. Позиционные системы исчисления. 20. Цифровые данные.  21. Персональные компьютеры и сети:Архитектура компьютера. 22. Архитектура компьютерных сетей. 23. Архитектура ПК: Устройства ввода-вывода. 24. Знакомство с клавиатурой 25. Знакомство с клавиатурой.(Специальные клавиши.) 26. Обмен данными в телекоммуникационных сетях.  27. Работа на компьютере. Техника безопасности.:Правила работы с клавиатурой. 28. Техника безопасности в кабинете информатики.(При проведении эвакуации и тушении пожара) 29. Техника безопасности в кабинете информатики. 30. Упражнения для глаз. Зрительная гимнастика.  31. Работа со структурированной информацией: Основные этапы компьютерного моделирования. 32. Подготовка текстовых документов. 33. Структура баз данных.  34. Общая информация. Языки программирования: Алгоритмические структуры 35. Двоичная система счисления 36. Единицы измерения информации 37. Знакомство с клавиатурой 38. Логические операции 39. Системы счисления 40. Соответствие чисел, записанных в различных системах счисления 41. Степени 2 в различных величинах 42. Техника безопасности и правила поведения в кабинете информатики 43. Типы файлов 44. Язык программирования Паскаль.  Вариант 1 программа 45. Язык программирования Паскаль.  Оператор ветвления на Паскале 46. Язык программирования Паскаль.  Оператор вывода 47. Язык программирования Паскаль.  Пример задачи 48. Язык программирования Паскаль.  Циклические операторы на Паскале 49. Язык программирования Паскаль. Алгоритмы на Паскале 50. Язык программирования Паскаль. Заполнение массива 51. Язык программирования Паскаль. Структура программы на Паскале 52. Язык программирования Паскаль. Структура программы",компл,52,8736,10920,19656,680х980,Информатика,Бумага,Таблицы,,2.17.
442,SC220-ИНФ00003,Комплект таблиц Информатика и ИКТ 5-7 классы,Комплект таблиц  размером 680х980мм. Состав: 1Виды информационных процессов. 2Законы логики 3Информационные революции. 4Поколения компьютеров 5История информатики. 6Как мы воспринимаем информацию. 7Как хранят информацию на компьютере. 8Компьютер и информация. 9Логические операции. 10Обработка информации 11Обработка информации с помощью ПК 12Передача информации 13Хранение информации. 14Позиционные системы исчисления. 15Цифровые данные.  Персональные компьютеры и сети: 16Архитектура компьютера. 17Архитектура компьютерных сетей. Архитектура ПК: 18Устройства ввода-вывода. 19Знакомство с клавиатурой 20Знакомство с клавиатурой(специальные клавиши) 21Обмен данными в телекоммуникационных сетях.  22Работа на компьютере. Техника безопасности: 23Правила работы с клавиатурой. 24Техника безопасности в кабинете информатики.(при проведении и тушении пожара) 25Техника безопасности в кабинете информатики. 26Упражнения для глаз. 27Зрительная гимнастика.  Работа со структурированной информацией: 28Основные этапы компьютерного моделирования. 29Подготовка текстовых документов. 30Структура баз данных.,компл,30,5040,6300,13440,680х980,Информатика,Бумага,Таблицы,,2.17.
443,SC221-ИНФ00004,Комплект таблиц Информатика и ИКТ 8-9 классы,"Комплект таблиц  размером 680х980мм. Состав: Алгоритмы и языки программирования: 1Алгоритмы и исполнители. 2Базовые алгоритмические структуры. 3Величины. 4Типы величин. 5Величины. 6Типы величин. 7Языки программирования.(С/С++ Basic) 8Языки программирования.(Ada. Fortran.)  Информация: 9Виды информационных процессов. 10Законы логики 11Информационные революции. 12Поколения компьютеров 13История информатики. 14Как мы воспринимаем информацию. 15Как хранят информацию на компьютере. 16Компьютер и информация. 17Логические операции. 18Обработка информации 19Обработка информации с помощью ПК 20Передача информации 21Хранение информации. 22Позиционные системы исчисления. 23Цифровые данные.  Персональные компьютеры и сети: 24Архитектура компьютера. 25Архитектура компьютерных сетей. Архитектура ПК: 26Устройства ввода-вывода. 27Знакомство с клавиатурой 28Знакомство с клавиатурой(специальные клавиши) 29Обмен данными в телекоммуникационных сетях.  30Работа на компьютере. Техника безопасности: 31Правила работы с клавиатурой. 32Техника безопасности в кабинете информатики.(при проведении и тушении пожара) 33Техника безопасности в кабинете информатики. 34Упражнения для глаз. 35Зрительная гимнастика.  Работа со структурированной информацией: 36Основные этапы компьютерного моделирования. 37Подготовка текстовых документов. 38Структура баз данных.  Информатика: 39Алгоритмические структуры 40Двоичная система счисления 41Единицы измерения информации 42Знакомство с клавиатурой 43Логические операции 44Системы счисления 45Соответствие чисел, записанных в различных системах счисления 46Степени 2 в различных величинах 47Техника безопасности и правила поведения в кабинете информатики 48Типы файлов 49Язык программирования Паскаль.  50Вариант 1 программа Язык программирования Паскаль.  51Оператор ветвления на Паскале 52Язык программирования Паскаль.  53Оператор вывода Язык программирования Паскаль.  54Пример задачи Язык программирования Паскаль.  55Циклические операторы на Паскале Язык программирования Паскаль. 56Алгоритмы на Паскале Язык программирования Паскаль. 57Заполнение массива Язык программирования Паскаль. 58Структура программы на Паскале Язык программирования Паскаль. 59Структура программы",компл,59,9912,12390,22302,680х980,Информатика,Бумага,Таблицы,,2.17.
444,SC261-ИНФ00005,Комплект таблиц Информатика 5 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Техника безопасности 2. Виды информации(в 3 частях)  3. Действия с информацией(в 3 частях)  4. Компьютер 5. Компьютер и информация 6. Хранение информации 7. Информация в памяти компьютера 8. Виды цифровых данных 9. Обработка информации 10. Передача информации 11. Схема обмена информацией 12. Схема передачи информации 13. Знакомство с клавиатурой 14. Правила работы с клавиатурой 15. Подготовка текстовых документов 16. Алгоритмы,компл,16,2688,3360,6003.2,680х980,Информатика,Бумага,Таблицы,,2.17.
445,SC262-ИНФ00006,Комплект таблиц Информатика 6 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Компьютер 2. Файловая система 3. Компьютерные вирусы 4. Хранение информации 5. Обработка информации 6. Передача информации 7. Двоичный код 8. Единицы измерения информации 9. Исполнители алгоритмов 10. Растровая и векторная графика 11. Текстовый процессор 12. Компьютерные презентации,компл,12,2016,2520,4513.6,680х980,Информатика,Бумага,Таблицы,,2.17.
446,SC263-ИНФ00007,Комплект таблиц Информатика 7 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Техника безопасности  2. ПК 3. Системы 4. ПК как система 5. Модели 6. Информационная модель – таблица 7. Информационная модель – граф 8. Деревья 9. Файловая система 10. Алгоритмы 11. Управление и исполнители 12. Виды алгоритмов 13. Элементы блок схемы 14. Блок схемы 15. Робот и чертёжник  16. Кодирование 17. Виды цифровых данных 18. Хранение информации 19. Единицы измерения 20. Степени двойки 21. Текстовые файлы 22. Графические файлы 23. Звуковые файлы. Скорость передачи информации 24.Передачи информации,компл,24,4032,5040,9072,680х980,Информатика,Бумага,Таблицы,,2.17.
447,SC264-ИНФ00008,Комплект таблиц Информатика 8 класс,"Комплект таблиц  размером 680х980мм. Состав: 1. Системы счисления 2. Двоичная система счисления 3. Позиционные системы счисления 4. Соответствие чисел в различных СС 5. Примеры преобразования целых чисел 6. Логические операции 7. Логические операции 8. Законы алгебры логики 9. Примеры преобразования логических функций 10. Таблицы истинности 11. Алгоритмы и исполнители. Свойства алгоритма 12. Исполнитель Черепаха 13. Блок-схемы 14. Язык программирования (Python, C++, Java, C#). Система программирования: редактор текста программ, транслятор, отладчик. 15. Переменные. Ввод/вывод данных 16. Оператор присваивания. Арифметические действия 17. Условный оператор 18. Решение линейного уравнения 19. Решение квадратного уравнения 20. Цикл с условием 21. Алгоритм Евклида 22. Обработка потока данных. Базовые алгоритмы 23. Перебор числа по цифрам 24. Цикл со счётчиком 25.Алгоритм обработки последовательности с известным количеством элементов",компл,25,4200,5250,9450,680х980,Информатика,Бумага,Таблицы,,2.17.
448,SC265-ИНФ00009,Комплект таблиц Информатика 9 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Компьютерная сеть 2. Сетевые технологии 3. Поисковые запросы 4. Моделирование 5. Информационные модели 6. Электронные таблицы 7. Формулы в электронных таблицах 8. Функции в электронных таблицах 9. Диаграммы в электронных таблицах 10. Массивы 11. Обработка массива с помощью базовых алгоритмов 12. Сортировка массива,компл,12,2016,2520,4513.6,680х980,Информатика,Бумага,Таблицы,,2.17.
449,SC266-ИНФ00010,Комплект таблиц Информатика 10 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Техника безопасности 2. Принципы устройства ЭВМ(в 2 частях)  3. Архитектура ПК 4. Операционная система 5. Файловая система 6. Двоичное кодирование 7. Системы счисления(в 2 частях)  8. Объём текстового файла 9. Объём графического файла 10. Объём звукового файла 11. Основы алгебры логики(в 2 частях)  12. Анализ логических функций,компл,12,2016,2520,4513.6,680х980,Информатика,Бумага,Таблицы,,2.17.
450,SC267-ИНФ00011,Комплект таблиц Информатика 11 класс,Комплект таблиц  размером 680х980мм. Состав: 1. Компьютерные сети 2. Топология компьютерных сетей 3. Всемирная паутина 4. IP-адрес. Маска подсети 5. Информационное моделирование 6. Теория игр 7. Алгоритмы 8. Исполнители алгоритмов 9. Языки программирования 10. Основы программирования(в 2 частях)  11. Обработка последовательностей целых чисел 12. Массивы 13. Алгоритмы обработки массива 14. Работа со строками 15. Строки. Примеры решения задач 16. Базы данных,компл,16,2688,3360,6003.2,680х980,Информатика,Бумага,Таблицы,,2.17.
451,,ИСТОРИЯ И ОБЩЕСТВОЗНАНИЕ,,,,,,,,История и обществознание,,,,
452,7141-ОБЩ00015,"Таблицы демонстрационные ""Новейшая история 9 класс"" ","Учебный альбом из 6 листов. Формат 68*98см.
Первая мировая война. Вторая мировая война. Становление Европейского союза. Глобальные проблемы современности. Социальное государство. "" Холодная война"". Создание военно-политических блоков.",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
453,6417-ОБЩ00011,"Таблицы демонстрационные ""История России"" (обобщающие таблицы) ","Учебный альбом из 9 листов. Формат 68*98см.
Древняя Русь в IX - XIII вв. Становление Московского государства в XIII - XVI вв. Формирование русского централизованного государства в XVI - начале XVIII в. Развитие российской абсолютной монархии в 1725 - 1855 гг. Россия в 1855 - 1917 гг. Россия в 1917 - 1945 гг. СССР в 1945 - 1985 гг. СССР в 1985 - 1991 гг. Россия в 1992 - 2003 гг.",компл,9,1512,1890,3382.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
454,6416-ОБЩ00004,"Таблицы демонстрационные ""Всемирная история"" (обобщающие таблицы)  ","Учебный альбом из 5 листов. Формат 68*98см.
Первобытность. Зарождение цивилизаций. Древность и средневековье (аграрное общество). Новое время (XV - нач. XX в.). Мир в ХХ веке.",компл,5,840,1050,1881.6,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
455,10820-ОБЩ00002,"Таблица демонстрационная ""Слава русского оружия"" ","Изготовлена на виниле. Размер 100х140см. 
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",компл,1,895,1118.75,3091.2,1400х1000,История и обществознание,Винил,Таблицы,Да,2.17.
456,7137-ОБЩ00006,"Таблицы демонстрационные ""История Древнего мира 5 класс"" ","Учебный альбом из 5 листов. Формат 68*98см.
Общество Древнего Египта. Афинская демократия. Римская республика. Рабство в Древней Греции и Древнем Риме. Греко-персидские войны.",компл,5,840,1050,1881.6,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
457,169-ОБЩ00005,"Таблицы демонстрационные ""Движение декабристов""","Учебный альбом из 6 листов. Формат 68*98 см.
Движение Декабристов. Этапы развития движения Декабристов. Программные документы Декабристов. Государственное устройство России в программных документах Декабристов. Предпосылки и результаты движения Декабристов.",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
458,6808-ОБЩ00009,"Таблицы демонстрационные ""История России 8 класс""  ","Учебный альбом из 5 листов. Формат 68*98см.
Структура управления российской империей в первой четверти XIX века. Сословия в России в первой половине XIX века. Крестьянская реформа 1861 года. Судебная система России после 1864 года. Земская реформа 1864 года. Политические партии России в конце XIX - начале XX века.",компл,5,840,1050,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
459,7139-ОБЩ00013,"Таблицы демонстрационные ""Новая история 7 класс"" ","Учебный альбом из 6 листов. Формат 68*98см.
Возрождение в истории Европы. Реформация. Нидерландская революция. Английская революция. Эпоха Просвещения. Великая Французская революция.",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
460,7140-ОБЩ00014,"Таблицы демонстрационные ""Новая история 8 класс"" ","Учебный альбом из 6 листов. Формат 68*98см.
Промышленная революция. Переход к индустриальному обществу. Индустриальное общество. Политическая структура США. Север и ЮГ в истории США. Либерализм, социализм, консерватизм.",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
461,6418-ОБЩ00017,"Таблицы демонстрационные ""Обществознание 8-9 класс"" ","Учебный альбом из 7 листов. Формат 68*98см.
Человек, природа, общество. Социальный прогресс. Социализация Человека. Экономика. Социальная сфера. Политика и право. Духовная культура.",компл,7,1176,1470,2643.2,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
462,180-ОБЩ00018,"Таблицы демонстрационные ""Политические течения 18-19 вв.""  ","Учебный альбом из 8 листов. Формат 68*98 см.
Консерватизм. Либерализм. Социалистические учения XIX века. Становление и развитие политической мысли в России. Историко-филосовская концепция П.Я. Чаадаева. Три политических течения в России в XIX веке. Западники и славянофилы. Народничество.",компл,8,1344,1680,3012.8,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
463,183-ОБЩ00019,"Таблицы демонстрационные ""Развитие России в 17-18 вв"" ","Учебный альбом из 8 листов. Формат 68*98 см.
Мир в начале XVII века. Россия в начале XVII века. Смутное время. Смутное время 2. Законодательное оформление крепостного права. Соборное уложение царя Алексея Михайловича. Кризис традиционализма. 1730 г. Упущенный шанс.",компл,8,1344,1680,3012.8,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
464,184-ОБЩ00020,"Таблицы демонстрационные ""Развитие Российского государства в 15-16 вв""","Учебный альбом из 6 листов. Формат 68*98 см.
Российское государство в XVI веке. Политическая программа И.С.Пересветова. Особенности развития сословного строя в России и Европе в XV-XVI веках. Сословный строй в России в XV-XVI веках. Черты традиционализма и модернизма в культуре. Элементы традиционной русской культуры в XVI веке.",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
465,188-ОБЩ00021,"Таблицы демонстрационные ""Становление Российского государства"" ","Учебный альбом из 8 листов. Формат 68*98 см.
Этапы становления российского государства. Киевская Русь. Феодальная раздробленность. Образование русского централизованного государства. Возвышение Москвы. Процесс образования централизованного государства в XV в. Русская идея XV в. Создание органов центральной власти.",компл,8,1344,1680,3012.8,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
466,776-ОБЩ00022,"Таблицы демонстрационные ""Факторы формирования Российской цивилизации""","Учебный альбом из 6 листов. Формат 68*98 см.
1) Географические факторы формирования Российской цивилизации. 2) Колонизация земель.3) Верования Восточных славян. 4) Языческие обычаи в русской культуре. 5) Ценностные ориентации в традиционной русской культуре - 1. 6) Ценностные ориентации в традиционной русской культуре - 2. ",компл,6,1008,1260,2262.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
467,775-ОБЩ00023,"Таблицы демонстрационные ""Цивилизационные альтернативы в истории России"" ","Учебный альбом из 10 листов. Формат 68*98 см.
Цивилизационная альтернатива 1- Первая ступень. Цивилизационная альтернатива 1 - Вторая ступень. Цивилизационная альтернатива 2. Цивилизационная альтернатива 3. Цивилизационная альтернатива 4. Результаты последствий реформ Петра I. Социально-экономическая интеграция России и Европы. Противоречия процесса интеграции России и Европы. Социокультурная инверсия в России в XIX веке. Альтернативы исторического развития государств в XVII - XIX вв.",компл,10,1680,2100,2419.2,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
468,9333-ОБЩ00029,"Комплект таблиц по истории раздат. ""История России с древних времен"" (цвет., лам., А4, 10 шт.)","Пособие предназначено для использования в качестве раздаточного материала на уроках истории.
Пособие состоит из 10 полноцветных таблиц 4+4 формата А4, ламинированных пленкой.
Таблицы: 1. Формирование Древнерусского государства. 2. Принятие христианства на Руси. Христианство и язычество. 3. Культура Киевской Руси. Монументальная живопись. 4. Политические центры Руси в период раздробленности. 5. Политика русских князей в борьбе за независимость от ордынского ига. 6. Борьба с иноземными захватчиками в XIII в. Западная угроза. 7. Культура Руси в XII–XIII вв. Архитектура. 8. Создание централизованного государства. Династия Московских князей. 9. Государственное устройство России при Иване IV Грозном. 10. Культура Руси в XV–XVI вв. Творчество Феофана Грека и Андрея Рублева.",компл,10,300,375,1209.6,А4,История и обществознание,Бумага,Таблицы,Да,2.10.2.
469,777-ОБЩ00119,"Комплект таблиц по истории раздат. ""История России"" (цвет., лам., А4, 10 шт.)","Комплект таблиц по истории раздат. ""История России XVI - XVIII вв."" (цвет., лам., А4. 10 шт.)
Пособие предназначено для использования в качестве раздаточного материала на уроках истории.

Пособие состоит из 10 полноцветных таблиц 4+4 формата А4, ламинированных пленкой.
Таблицы: 1. Смута. 2. Формирование всероссийского рынка XVII в. 3. Этапы закрепощения крестьян в России в XV–XVII вв. 4. Культура России в XVII в. Московский театр. 5. Государственное устройство России при Петре I, Реформы Петра I. 6. Табель о рангах. 7. Сословная структура общества в Российской империи в XVIII в. 8. Эпоха дворцовых переворотов. 9. Усиление позиций дворянства, ""Золотой век"" дворянства. 10. Культура России в XVIII в. Гравюра.",компл,10,300,375,675,А4,История и обществознание,Бумага,Таблицы,,2.10.2.
470,777-ОБЩ000122,КОМПЛЕКТ ПОРТРЕТОВ ИСТОРИЧЕСКИХ ДЕЯТЕЛЕЙ,"Представляют собой комплект портретов формата А3 в количестве 7 шт., выполненных на качественной белой бумаге 4+0, 150 г/м2 Состав комплекта:

Соловьев С.М.
Гумилев Л.Н.
Карамзин Н.М.
Ключевский В.О.
Ломоносов М.В.
Рыбаков Б.А.
Геродот",компл,7,337,421.25,758.25,А3,История и обществознание,Бумага,,,2.10.6.
471,6806-ОБЩ00007,"Таблицы демонстрационные ""История России 6 класс"" ","Учебный альбом из 5 листов. Формат 68*98см.
Древнерусское государство с центром в Киеве. X век. Новгородская феодальная республика. Основные этапы истории Древнерусского государства. Русские земли в период феодальной раздробленности (середина XII – середина XIII века). Москва как центр объединения русский земель.",компл,5,840,1050,1881.6,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
472,6807-ОБЩ00008,"Таблицы демонстрационные ""История России 7 класс"" ","Учебный альбом из 9 листов. Формат 68*98см.
Российское государство в годы Смуты. Социально-сословное представительство на Земских соборах XVII века. Государственный аппарат России в XVII веке. Органы власти и управления в Российской империи в 20-70-е годы XVIII века. Реформы Петра I. Органы власти и управления российской губернии и уезда в конце XVIII века. Судебные учреждения губернии и уезда в конце XVIII века. Управление городом в конце XVIII века. Сословная структура Российской империи во второй половине XVIII века.",компл,9,1512,1890,3382.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
473,6809-ОБЩ00010,"Таблицы демонстрационные ""История России 9 класс"" ","Учебный альбом из 9 листов. Формат 68*98см.
Высшие и центральные государственные учреждения Российской империи после 1905 года. Высшие органы государственной власти и управления Российской империи в годы Первой мировой войны (1914 - 1917 гг.). Высшие органы государственной власти и управления в России в феврале – октябре 1917 г. Высшие органы власти и управления РСФСР в 1918 – 1922 гг. Высшие и центральные органы власти и управления СССР в 1922 – 1936 гг. Борьба за власть в руководстве большевистской партии в 20-е годы XX века. Органы государственной власти и управления СССР в годы Великой Отечественной войны (1941 – 1945 гг.). Органы государственной власти и управления СССР по Конституции 1977 года. Органы государственной власти Российской Федерации по состоянию на 2006 г.",компл,9,1512,1890,3382.4,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
474,6419-ОБЩ00016,"Таблицы демонстрационные ""Обществознание 10-11 класс"" ","Учебный альбом из 11 листов. Формат 68*98см.
Человек познает Мир. Внутренний мир и социализация Человека. Человек, Природа, Общество. Развитие общества. Рыночная экономика. Политическая система общества. Политическая жизнь общества. Право. Социальная система общества. Взаимодействие людей в обществе. Культура и духовная жизнь.",компл,11,1848,2310,4132.8,680х980,История и обществознание,Бумага,Таблицы,Да,2.17.
475,777-ОБЩ00123,Комплект раздаточных таблиц «Обществознание 8-9 классы» ,Комплект из 7 таблиц 4+4. Формат А4. Ламинированных матовой (антибликовой) плёнкой. ,компл,7,260,325,585,А4,История и обществознание,Бумага,Таблицы,,2.10.2.
476,777-ОБЩ00124,Комплект раздаточных таблиц «Обществознание 10-11 классы» ,"Комплект из 11 таблиц 4+4. Формат А4.  Человек познает Мир. Внутренний мир и социализация Человека. Человек, Природа, Общество. Развитие общества. Рыночная экономика. Политическая система общества. Политическая жизнь общества. Право. Социальная система общества. Взаимодействие людей в обществе. Культура и духовная жизнь.",компл,11,320,400,720,А4,История и обществознание,Бумага,Таблицы,,2.10.2.
477,12850-ОБЩ00001,"Таблица демонстрационная ""70-летие Победы"" ","Изготовлена на виниле. Размер 100х140см.
Вес (плотность) - 440 г/кв.м. 
Печать односторонняя, полноцветная.",компл,1,895,1118.75,3091.2,1400х1000,История и обществознание,Винил,Таблицы,Да,2.17.
478,10821-ОБЩ00003,"Таблица демонстрационная ""Слава русского оружия"" ","Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",компл,1,750,937.5,1545.6,700x1000,История и обществознание,Винил,Таблицы,Да,2.17.
479,777-ОБЩ000121,"Таблицы демонстрационные ""герб России, герб Ставропольского края, герб города Пятигорска."" ", Учебный альбом из 3 листов. Формат 68*98,компл,3,504,630,1188,680х980,История и обществознание,Бумага,Таблицы,,2.17.
480,9330-ОБЩ00024,"Комплект раздаточных таблиц по истории ""История древнего мира. Ч1""","Пособие состоит из 8 полноцветных таблиц 4+4 формата А4, ламинация.
Пособие предназначено для использования в качестве раздаточного материала на уроках истории.
Комплектность: 1. Древнейшие орудия труда. 2. Основные занятия древних людей. 3. Древний Египет. Социальная структура Древнего Египта. 4. Письменность Междуречья. Клинопись. 5. Финикия. 6. Персидская держава. 7. Древняя Индия. Касты. 8. Древний Китай.",компл,8,260,325,967.68,А4,История и обществознание,Бумага,Таблицы,Да,2.10.2.
481,9331-ОБЩ00025,"Комплект раздаточных таблиц по истории. ""История древнего мира. Ч2"" ","Пособие состоит из 12 полноцветных таблиц 4+4 формата А4, ламинированных  пленкой.
Пособие предназначено для использования в качестве раздаточного материала на уроках истории.
Состав: 
1. Микенская цивилизация.
2. Спарта и Афины. Олигархия и демократия. 
3. Греко-персидские войны. 
4. Олимпийские игры. 
5. Греческая армия.
6. Завоевательные походы Александра Македонского. 7. Пунические войны. Рим и Карфаген. 8. Римская республика в III в. до н. э. 9. Восстание Спартака. 10. Римский легион. 11. Памятники искусства и архитектуры Древнего Рима. 12. Зарождение христианства.",компл,12,320,400,1451.52,А4,История и обществознание,Бумага,Таблицы,Да,2.10.2.
